model_name,sample_id,entropy_bits_mean,entropy_bits_std,entropy_bits_median,surprisal_bits_mean,surprisal_bits_std,surprisal_bits_median
distilgpt2,0,7.123,2.87,7.308,6.767,5.05,6.377
distilgpt2,1,7.266,2.095,7.425,7.625,5.522,6.113
distilgpt2,2,7.709,2.384,8.117,7.992,4.578,7.659
distilgpt2,3,7.386,2.226,7.873,8.229,6.992,5.521
distilgpt2,4,8.213,2.029,8.549,7.859,4.305,6.888
distilgpt2,5,7.364,2.636,8.233,7.706,4.876,6.406
distilgpt2,6,6.924,2.684,7.45,7.279,4.987,6.645
distilgpt2,7,8.464,2.363,9.278,9.034,5.558,8.352
distilgpt2,8,6.203,3.624,7.205,6.591,6.412,5.315
distilgpt2,9,8.139,2.402,8.963,8.13,4.875,7.303
gpt2,0,6.954,2.897,7.179,6.348,5.092,6.21
gpt2,1,6.595,2.728,7.043,7.138,5.276,5.591
gpt2,2,7.21,2.43,7.559,7.455,4.523,6.992
gpt2,3,6.649,2.806,6.92,7.562,6.442,6.264
gpt2,4,7.628,2.706,7.786,7.505,4.143,7.129
gpt2,5,6.953,3.242,8.321,6.858,4.86,6.383
gpt2,6,6.618,2.943,7.62,6.915,4.768,6.801
gpt2,7,8.435,2.796,9.463,7.359,4.986,6.275
gpt2,8,5.67,3.86,6.566,5.589,5.48,4.611
gpt2,9,7.332,2.59,7.86,7.316,5.201,6.434
gpt2-medium,0,5.464,3.559,6.604,5.369,5.321,3.138
gpt2-medium,1,5.595,2.571,5.968,7.122,5.945,4.458
gpt2-medium,2,6.074,3.039,6.849,6.382,4.868,5.479
gpt2-medium,3,4.953,3.697,4.778,6.957,8.358,4.733
gpt2-medium,4,5.978,3.517,6.958,6.098,4.893,5.087
gpt2-medium,5,5.374,3.149,5.745,7.265,6.926,4.825
gpt2-medium,6,5.293,3.003,5.769,5.611,5.681,3.444
gpt2-medium,7,6.798,3.073,7.51,6.791,6.337,5.016
gpt2-medium,8,4.626,4.208,5.435,5.493,6.469,4.462
gpt2-medium,9,5.399,3.357,5.557,6.356,6.211,4.157
